Student_ID,Student_Name,Attendance_Percent,Study_Hours_Per_Day,Assignment_Score,Internal_Marks,Final_Marks
1,Student_001,86.5,5.0,68.0,79.4,75.6
2,Student_002,80.8,2.4,77.0,76.9,65.5
3,Student_003,87.8,5.9,85.0,84.0,74.4
4,Student_004,95.7,1.7,89.0,76.2,77.3
5,Student_005,79.9,4.7,62.0,74.8,66.0
6,Student_006,79.9,7.1,74.0,79.9,72.0
7,Student_007,96.2,2.3,72.0,72.3,65.8
8,Student_008,88.9,,70.0,69.8,61.5
9,Student_009,77.8,3.9,100.0,78.2,94.1
10,Student_010,86.9,3.0,83.0,67.4,77.8
11,Student_011,77.8,1.5,62.0,57.1,56.6
12,Student_012,77.8,3.9,90.0,78.0,89.6
13,Student_013,84.2,2.2,100.0,83.9,82.8
14,Student_014,64.8,4.5,91.0,78.3,73.3
15,Student_015,66.5,2.4,58.0,69.5,72.1
16,Student_016,76.9,6.1,,71.7,79.1
17,Student_017,72.9,2.6,94.0,74.8,68.5
18,Student_018,84.8,3.3,69.0,70.1,67.7
19,Student_019,73.8,5.0,84.0,90.5,78.7
20,Student_020,69.3,2.0,88.0,57.4,54.9
21,Student_021,95.2,4.1,66.0,69.5,77.2
22,Student_022,80.0,5.8,77.0,74.5,91.2
23,Student_023,82.6,1.4,36.0,35.9,30.0
24,Student_024,69.2,4.1,65.0,60.5,67.2
25,Student_025,77.1,4.2,75.0,65.5,65.1
26,Student_026,83.0,5.0,62.0,73.5,68.2
27,Student_027,71.6,1.9,99.0,69.4,69.2
28,Student_028,85.4,1.8,59.0,73.5,58.6
29,Student_029,76.6,4.6,72.0,77.9,75.4
30,Student_030,79.4,4.2,80.0,69.3,67.3
31,Student_031,76.6,4.2,97.0,70.9,80.5
32,Student_032,98.7,4.3,59.0,78.9,73.3
33,Student_033,81.9,2.8,93.0,63.7,70.3
34,Student_034,72.5,4.1,78.0,82.3,71.0
35,Student_035,89.4,,65.0,81.3,71.2
36,Student_036,71.0,2.7,84.0,62.0,72.3
37,Student_037,83.9,6.6,81.0,72.6,83.8
38,Student_038,64.4,4.5,70.0,74.6,64.5
39,Student_039,70.0,2.0,79.0,59.9,63.7
40,Student_040,83.8,4.8,73.0,84.0,84.6
41,Student_041,88.6,2.3,79.0,58.5,53.6
42,Student_042,83.5,5.0,87.0,76.0,84.1
43,Student_043,81.0,5.5,99.0,84.7,83.9
44,Student_044,79.3,2.6,62.0,62.1,65.3
45,Student_045,68.7,5.2,100.0,75.5,77.3
46,Student_046,75.5,4.4,53.0,68.7,52.0
47,Student_047,77.9,5.0,76.0,67.0,60.9
48,Student_048,91.5,6.6,86.0,88.3,90.1
49,Student_049,85.1,3.4,82.0,74.1,76.8
50,Student_050,66.1,2.7,70.0,62.6,56.2
51,Student_051,84.9,2.5,75.0,72.6,74.8
52,Student_052,78.5,2.6,72.0,56.6,50.0
53,Student_053,75.9,3.7,70.0,56.2,62.3
54,Student_054,87.5,4.3,89.0,88.7,77.3
55,Student_055,91.3,4.2,83.0,81.5,76.4
56,Student_056,90.4,5.0,69.0,72.4,74.5
57,Student_057,74.4,3.8,90.0,83.5,75.1
58,Student_058,79.2,6.0,82.0,81.5,80.1
